Make,Model,Cilindrada,Eficiencia,CO2
Alfa Romeo,GT V6 2.5,2.5,8.50288,276.1069755
Alfa Romeo,GT V6 2.5,2.5,8.50288,276.1069755
Alfa Romeo,Spider Veloce 2000,2,8.928024,262.9590243
Alfa Romeo,Spider Veloce 2000,2,8.928024,262.9590243
AM General,DJ Po Vehicle 2WD,2.5,7.227448,324.8317359
AM General,DJ Po Vehicle 2WD,2.5,7.227448,324.8317359
AM General,FJ8c Post Office,4.2,5.526872,424.7799624
AM General,FJ8c Post Office,4.2,5.526872,424.7799624
American Motors Corporation,Eagle 4WD,4.2,7.227448,324.8317359
American Motors Corporation,Eagle 4WD,4.2,7.227448,324.8317359
American Motors Corporation,Eagle 4WD,2.5,8.50288,276.1069755
American Motors Corporation,Eagle 4WD,4.2,7.227448,324.8317359
American Motors Corporation,Eagle 4WD,2.5,8.50288,276.1069755
American Motors Corporation,Eagle 4WD,4.2,7.227448,324.8317359
American Motors Corporation,Eagle 4WD,2.5,8.928024,262.9590243
American Motors Corporation,Eagle 4WD,4.2,7.652592,306.7855284
American Motors Corporation,Eagle 4WD,4.2,7.652592,306.7855284
American Motors Corporation,Eagle SX/4 4WD,2.5,7.652592,306.7855284
American Motors Corporation,Eagle SX/4 4WD,4.2,7.652592,306.7855284
American Motors Corporation,Eagle SX/4 4WD,2.5,7.652592,306.7855284
American Motors Corporation,Eagle SX/4 4WD,4.2,7.227448,324.8317359
American Motors Corporation,Eagle SX/4 4WD,2.5,8.50288,276.1069755
American Motors Corporation,Eagle SX/4 4WD,4.2,7.227448,324.8317359
American Motors Corporation,Eagle SX/4 4WD,2.5,8.50288,276.1069755
American Motors Corporation,Eagle SX/4 4WD,4.2,7.227448,324.8317359
American Motors Corporation,Eagle SX/4 4WD,2.5,8.928024,262.9590243
American Motors Corporation,Eagle SX/4 4WD,4.2,7.652592,306.7855284
American Motors Corporation,Eagle SX/4 4WD,4.2,7.652592,306.7855284
Aston Martin,Lagonda,5.3,3.826296,613.5710567
Aston Martin,Lagonda,5.3,3.826296,613.5710567
